"city (STRING)","areaCode (STRING)","country (STRING)","region (STRING)","locId (STRING)","longitude (STRING)","postalCode (STRING)","metroCode (STRING)","latitude (STRING)","author (STRING)","year (STRING)","month (STRING)","day (STRING)","hour (STRING)","minute (STRING)","text (STRING)","hashtags (STRING)","search_term (STRING)","id (STRING)"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","RealNiggasLNF","2013","3","17","18","19","RT @mr_flyboii: Nigga leave me the fuck alone","","fuck","-543455591058576251"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","IbbyTheGeek","2013","3","17","18","19","RT @upthepucx: Here are the photos from today that I'm happiest with.  Feel free to use.  No credit necessary.  Fuck copyright. http://t.co/msg3rN1jjm","","fuck","1307911339583016569"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","motox17","2013","3","17","18","18","Now that I think about it.....I have to read City of the Beasts by the time we get back, for english...#fuck","","fuck","-2290646334067520008"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","Sarah_Miller137","2013","3","17","18","17","that nap only made me feel worse #fuck","#fuck","fuck","-8876281507990435236"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","WarlokkLLE","2013","3","17","18","17","@Krista_Marie86 fuck you!","","fuck","1031716035092195433"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","EbzLovesTrey_x","2013","3","17","18","16","I miss going to a mixed school, fuck.","","fuck","-4795067046821624575"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","mr_flyboii","2013","3","17","18","16","Nigga leave me the fuck alone","","fuck","-1744001718801300987"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","TBONE_STEAK412","2013","3","17","18","16","@LYS_in_up @christo_412 @jess_mcgee fuck outta here","","fuck","978321130816266420"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","Crossyankosky69","2013","3","17","18","15","Its sad when 9 year olds say ""Fuck Bitches Get Money"" 😔 i was still playing Pokemon at that age","","fuck","-8083772689586629952"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","caitlinn_marie_","2013","3","17","18","14","@TatCook I know I missed looking at you in class &amp; making the 'fuck everyone' face !","","fuck","-1102705710006482719"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","dee_millie","2013","3","17","18","13","RT @L_jane033: I hate guys... All of you. Fuck you fuck you fuck you.","","fuck","849206159758704689"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","Ruska03","2013","3","17","18","13","This @Steam_Games is awesome as fuck. They let me re-install my old games for my new steam account. Didnt have to repurchase shit :')","","fuck","-2135123811155000411"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","TeamHemmo96","2013","3","17","18","13","“@ohohobreez: KELSEY ARE YOU CONVULSIG BC I AM” YESS HOLY FUCK","","fuck","-7051299923496439000"
"Pittsburgh","412","US","PA","606","-79.9880","15222","508","40.4495","StrictlyBitchy","2013","3","17","18","12","I put ranch dressing on my spaghetti at dinner. I'm fairly certain my family now hates me &amp; thinks I'm weird as fuck.","","fuck","-8414858584082661610"
